long	lat
81	27.95988869
81.05724316	27.95508226
81.08298507	27.94777413
81.08454013	27.94757714
81.10723031	27.93161154
81.12796208	27.91295217
81.14679321	27.90362495
81.19585925	27.88756085
81.32946459	27.79536711
81.41579012	27.75920565
81.47608537	27.70803396
81.5197373	27.69687478
81.6151632	27.70596562
81.75607974	27.7364096
81.78049953	27.72827906
81.78689196	27.72611715
81.8061813	27.70000191
81.81977406	27.65950679
81.83066006	27.58111675
81.842696	27.54120274
81.86785882	27.51706227
82.00670549	27.50927153
82.03469301	27.50167284
82.08577349	27.47767519
82.15666814	27.46324606
82.29349801	27.46415712
82.33450038	27.4502106
82.39007443	27.41116332
82.40418613	27.39817711
82.41685305	27.37807482
82.42382339	27.3636457
82.43522244	27.35301838
82.46079217	27.34537045
82.48567193	27.34637999
82.50766803	27.35652963
82.5262733	27.37263805
82.55045721	27.40279147
82.55823546	27.41563487
82.55978639	27.42837978
82.54303279	27.44752176
82.5406091	27.45978406
82.54303279	27.47272102
82.54861733	27.48291498
82.57764274	27.49138039
82.6827994	27.49080421
82.80522861	27.47695127
82.88689132	27.45155995
83.04174855	27.38192095
83.09317695	27.36658077
83.09922146	27.36162661
83.10043036	27.36028219
83.10855063	27.37009202
83.11517305	27.37403664
83.12611212	27.3776907
83.12634801	27.38624969
83.12185444	27.39683269
83.11897666	27.40673609
83.08724449	27.43684519
83.07756739	27.45324417
83.09922146	27.46050305
83.15122188	27.46348737
83.17593063	27.46968746
83.17708056	27.47012083
83.19153429	27.46574777
83.23611029	27.45935069
83.27175812	27.46050305
83.29554103	27.47392263
83.35215296	27.5323532
83.37449698	27.53990264
83.39424629	27.53639139
83.39891088	27.51706227
83.40967894	27.50821273
83.42143182	27.50229827
83.44826351	27.49301537
83.4589785	27.4836389
83.47089649	27.4582919
83.48138149	27.45569663
83.51553146	27.45978406
83.5303862	27.4502106
83.54138425	27.43073375
83.5624663	27.40572654
83.58670918	27.39250395
83.90840059	27.34344985
83.94157165	27.32392374
83.96978916	27.28915103
83.98809958	27.25120686
83.99846664	27.21225315
84.00088444	27.17233913
83.99478097	27.13078522
83.98361191	27.10808766
83.9678903	27.08437564
83.95798321	27.06057004
83.9646646	27.03811379
83.97900039	27.02950556
84.11364244	26.99891877
84.12614424	26.9992044
84.14151792	27.00882217
84.1597163	27.01435744
84.17722472	27.01113182
84.1889717	26.99449154
84.1893727	26.99449154
84.21552033	26.98141176
84.27103541	26.96602233
84.29643412	26.95371079
84.3126157	26.93389906
84.31900813	26.91225537
84.3283373	26.89350244
84.35424906	26.8821512
84.36801283	26.87897482
84.38235452	26.87714779
84.4013549	26.86926347
84.40020497	26.85339144
